word,type,left_label,right_label
point,manual,no,yes
pick,manual,no,yes
flick,manual,no,yes
wave,manual,no,yes
throw,manual,no,yes
grasp,manual,no,yes
etch,manual,no,yes
tap,manual,no,yes
engrave,manual,no,yes
scoop,manual,no,yes
press,manual,no,yes
toss,manual,no,yes
snip,manual,no,yes
erase,manual,no,yes
sketch,manual,no,yes
slap,manual,no,yes
paint,manual,no,yes
yank,manual,no,yes
scribble,manual,no,yes
whack,manual,no,yes
caress,manual,no,yes
chop,manual,no,yes
trace,manual,no,yes
knock,manual,no,yes
stab,manual,no,yes
snap,manual,no,yes
rub,manual,no,yes
inscribe,manual,no,yes
chisel,manual,no,yes
pour,manual,no,yes
scrub,manual,no,yes
jab,manual,no,yes
poke,manual,no,yes
refrain,abstract,no,yes
peep,abstract,no,yes
incline,abstract,no,yes
review,abstract,no,yes
win,abstract,no,yes
reward,abstract,no,yes
regret,abstract,no,yes
recall,abstract,no,yes
ease,abstract,no,yes
vow,abstract,no,yes
condemn,abstract,no,yes
shock,abstract,no,yes
decay,abstract,no,yes
cheat,abstract,no,yes
bid,abstract,no,yes
flow,abstract,no,yes
scorn,abstract,no,yes
unite,abstract,no,yes
assent,abstract,no,yes
soar,abstract,no,yes
marvel,abstract,no,yes
span,abstract,no,yes
punish,abstract,no,yes
toil,abstract,no,yes
pray,abstract,no,yes
trick,abstract,no,yes
tempt,abstract,no,yes
restore,abstract,no,yes
nag,abstract,no,yes
cure,abstract,no,yes
stifle,abstract,no,yes
import,abstract,no,yes
harm,abstract,no,yes
cirr,nonce,no,yes
retung,nonce,no,yes
kont,nonce,no,yes
istent,nonce,no,yes
sabble,nonce,no,yes
klonk,nonce,no,yes
pilk,nonce,no,yes
numble,nonce,no,yes
barst,nonce,no,yes
boke,nonce,no,yes
aspore,nonce,no,yes
bickle,nonce,no,yes
mindle,nonce,no,yes
pruddle,nonce,no,yes
revine,nonce,no,yes
ponk,nonce,no,yes
klim,nonce,no,yes
blickle,nonce,no,yes
frinckle,nonce,no,yes
fage ,nonce,no,yes
ginkle,nonce,no,yes
releed,nonce,no,yes
krug,nonce,no,yes
prest,nonce,no,yes
revain,nonce,no,yes
gesp,nonce,no,yes
lort,nonce,no,yes
rolm,nonce,no,yes
pand,nonce,no,yes
plose,nonce,no,yes
herstain,nonce,no,yes
invine,nonce,no,yes
qusk,nonce,no,yes
draw,manual,yes,no
slash,manual,yes,no
write,manual,yes,no
scrawl,manual,yes,no
fling,manual,yes,no
pound,manual,yes,no
spear,manual,yes,no
stir,manual,yes,no
strike,manual,yes,no
grab,manual,yes,no
cut,manual,yes,no
reach,manual,yes,no
smack,manual,yes,no
pat,manual,yes,no
scratch,manual,yes,no
whip,manual,yes,no
shave,manual,yes,no
hammer,manual,yes,no
pet,manual,yes,no
slice,manual,yes,no
salute,manual,yes,no
brush,manual,yes,no
stroke,manual,yes,no
carve,manual,yes,no
comb,manual,yes,no
touch,manual,yes,no
punch,manual,yes,no
dial,manual,yes,no
pinch,manual,yes,no
autograph,manual,yes,no
smash,manual,yes,no
fiddle,manual,yes,no
pluck,manual,yes,no
earn,abstract,yes,no
bother,abstract,yes,no
lease,abstract,yes,no
offend,abstract,yes,no
slumber,abstract,yes,no
bargain,abstract,yes,no
refresh,abstract,yes,no
risk,abstract,yes,no
admire,abstract,yes,no
prime,abstract,yes,no
plot,abstract,yes,no
aim,abstract,yes,no
praise,abstract,yes,no
plunge,abstract,yes,no
amuse,abstract,yes,no
curse,abstract,yes,no
spare,abstract,yes,no
scare,abstract,yes,no
scowl,abstract,yes,no
ignore,abstract,yes,no
torment,abstract,yes,no
flutter,abstract,yes,no
aid,abstract,yes,no
revolt,abstract,yes,no
bury,abstract,yes,no
gleam,abstract,yes,no
defeat,abstract,yes,no
cope,abstract,yes,no
gain,abstract,yes,no
upset,abstract,yes,no
debate,abstract,yes,no
retain,abstract,yes,no
boast,abstract,yes,no
ekerling,nonce,yes,no
istre,nonce,yes,no
flinch,nonce,yes,no
alder,nonce,yes,no
lusk,nonce,yes,no
prope,nonce,yes,no
inkine,nonce,yes,no
leb,nonce,yes,no
niddle,nonce,yes,no
plaw,nonce,yes,no
fran,nonce,yes,no
pindle,nonce,yes,no
grome,nonce,yes,no
chask,nonce,yes,no
ifle,nonce,yes,no
gister,nonce,yes,no
gomp,nonce,yes,no
retall,nonce,yes,no
pittle,nonce,yes,no
drude,nonce,yes,no
evain,nonce,yes,no
heen,nonce,yes,no
fenk,nonce,yes,no
heamp,nonce,yes,no
lunk,nonce,yes,no
mond,nonce,yes,no
vonk,nonce,yes,no
daint,nonce,yes,no
est,nonce,yes,no
brasp,nonce,yes,no
hoil,nonce,yes,no
gop,nonce,yes,no
hekker,nonce,yes,no
